Geo point;GENRE;ESPECE;ADRESSE;IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;OBJECTID;LIBELLEFRANCAIS
48.8715363448, 2.27816921701;Platanus;x hispanica;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;111331.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 20 - 75 à 77;;000307023 / 16-27;443.0;27.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;24530;Platane
48.8200711234, 2.43516626469;Catalpa;bignonioides;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE DU MOULIN ROUGE;2002399.0;Arbre;Jardin;BOIS DE VINCENNES;12-38;;12-38;289.0;10.0;M;Inconnue;;2000-01-01T02:00:00+01:00;1;40928;Catalpa
48.8341620932, 2.38255442632;Platanus;x hispanica;PARC DE BERCY;100818.0;Arbre;Jardin;PARIS 12E ARRDT;12-36;;00000373;502.0;35.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;45900;Platane
48.8428258374, 2.29728541016;Alnus;n. sp.;SQUARE SAINT-LAMBERT;111640.0;Arbre;Jardin;PARIS 15E ARRDT;15-02;;00000087;223.0;19.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;60487;Aulne
48.8614740968, 2.35437470573;Aesculus;hippocastanum;JARDIN ANNE FRANCK / 14 IMPASSE BERTHAUD;134435.0;Arbre;Jardin;PARIS 3E ARRDT;;;00000001;55.0;6.0;J;Inconnue;;2006-01-01T02:00:00+01:00;1;64766;Marronnier
48.8600333815, 2.26913461956;Pterocarya;fraxinifolia;JARDIN DU RANELAGH;136794.0;Arbre;Jardin;PARIS 16E ARRDT;16-40;;00040084;449.0;28.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;70559;Pterocarya
48.8727963278, 2.2875405986;Corylus;colurna;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;114779.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 15 - 27 à 29;;000105001 / 16-25;200.0;12.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;86190;Noisetier de Byzance
48.8626270003, 2.28982415236;Platanus;x hispanica;JARDIN DU TROCADERO;108281.0;Arbre;Jardin;PARIS 16E ARRDT;16-56;;00000422;479.0;28.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;142277;Platane
48.8513574712, 2.32513190803;Melia;azedarach;SQUARE BOUCICAUT;118790.0;Arbre;Jardin;PARIS 7E ARRDT;;;00000031;120.0;10.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;162309;Lilas de Perse
48.8846213312, 2.34392438346;Platanus;orientalis;SQUARE LOUISE MICHEL;120588.0;Arbre;Jardin;PARIS 18E ARRDT;18-01;;00000201;520.0;28.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;198598;Platane
48.8569376084, 2.3366340031;Catalpa;bignonioides;SQUARE GABRIEL PIERNE;117989.0;Arbre;Jardin;PARIS 6E ARRDT;06-01;;00000006;275.0;15.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;216183;Catalpa
