Geo point;GENRE;ESPECE;ADRESSE;IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;OBJECTID;LIBELLEFRANCAIS
48.8639651868, 2.25134968355;Pinus;nigra;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;2002395.0;Arbre;Jardin;BOIS DE BOULOGNE;16-16;;000501001;330.0;27.0;A;Inconnue;;2000-01-01T02:00:00+01:00;1;33325;Pin
48.8213206283, 2.45536669589;Pinus;bungeana;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;2002380.0;Arbre;Jardin;BOIS DE VINCENNES;12-19;;12-19;78.0;16.0;A;Inconnue;;2000-01-01T02:00:00+01:00;1;195400;Pin
48.8521020309, 2.35080387137;Ulmus;glabra;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;125063.0;Arbre;Jardin;PARIS 4E ARRDT;;;00000069;167.0;10.0;A;Inconnue;'Pendula';1700-01-01T01:02:49+00:53;1;205026;Orme
48.8844740542, 2.34306606827;Aesculus;hippocastanum;SQUARE LOUISE MICHEL;112503.0;Arbre;Jardin;PARIS 18E ARRDT;18-14;;00000002;358.0;21.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;215496;Marronnier
48.8801157455, 2.38566682415;Aesculus;hippocastanum;PARC DES BUTTES CHAUMONT;102028.0;Arbre;Jardin;PARIS 19E ARRDT;;;G0380002;323.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;201259;Marronnier
48.8587642227, 2.29551496343;Fagus;sylvatica;JARDIN DU CHAMP DE MARS / C03;108183.0;Arbre;Jardin;PARIS 7E ARRDT;07-11;;P00208022;194.0;7.0;A;Inconnue;'Pendula';1700-01-01T01:02:49+00:53;1;153852;Hêtre
48.864817945, 2.252676244;Sequoiadendron;giganteum;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;2002394.0;Arbre;Jardin;BOIS DE BOULOGNE;16-14;;000501003;634.0;32.0;A;Inconnue;;1872-01-01T01:02:49+00:53;1;115827;Sequoia
48.8732484628, 2.24887874572;Davidia;involucrata;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002355.0;Arbre;Jardin;BOIS DE BOULOGNE;16-20;;000701006;120.0;15.0;A;Inconnue;;1906-01-01T01:09:21+01:00;1;109425;Arbre aux mouchoirs
48.861255856, 2.3950502607;Platanus;x hispanica;CIMETIERE DU PERE LACHAISE / DIV 45;162943.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-14;;D00000045009;362.0;26.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;89951;Platane
48.8499468102, 2.34421971028;Zelkova;carpinifolia;SQUARE PAUL PAINLEVE;132479.0;Arbre;Jardin;PARIS 5E ARRDT;05-04;;00000001;250.0;20.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;36528;Orme de Sibérie
48.8326105728, 2.41145272899;Taxodium;distichum;ILE DE BERCY / LAC DAUMESNIL;2002363.0;Arbre;Jardin;BOIS DE VINCENNES;12-10;;12-10;281.0;23.0;A;Inconnue;;1930-01-01T01:00:00+01:00;1;23121;Cyprès Chauve
48.8671184424, 2.25294211329;Platanus;x hispanica;ROUTE DU LAC A BAGATELLE;2002389.0;Arbre;Jardin;BOIS DE BOULOGNE;16-10;;001201001;534.0;45.0;M;Inconnue;;1872-01-01T01:02:49+00:53;1;77167;Platane
48.831421465, 2.41151437819;Diospyros;virginiana;ILE DE BERCY / LAC DAUMESNIL;2002360.0;Arbre;Jardin;BOIS DE VINCENNES;12-12;;12-12;163.0;15.0;A;Inconnue;;1935-01-01T01:00:00+01:00;1;88275;Plaqueminier
48.8320775848, 2.41181713566;Taxus;baccata;ILE DE BERCY / LAC DAUMESNIL;2002362.0;Arbre;Jardin;BOIS DE VINCENNES;12-08;;12-08;101.0;5.0;A;Inconnue;;1870-01-01T01:02:49+00:53;1;7670;If
48.8557603076, 2.35399346953;Ulmus;minor;PLACE SAINT GERVAIS;267663.0;Arbre;Alignement;PARIS 4E ARRDT;04-01;;000301001;184.0;16.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;5156;Orme
48.8471733403, 2.25286614408;Quercus;suber subsp. Occidentalis;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136338.0;Arbre;Jardin;PARIS 16E ARRDT;;;00040054;217.0;11.0;M;Inconnue;;1895-01-01T01:09:21+01:00;1;49662;Chêne
48.8462426895, 2.25137540594;Acer;monspessulanum;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;123330.0;Arbre;Jardin;PARIS 16E ARRDT;;;00040005;203.0;16.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;24765;Erable
48.8477822447, 2.25372288858;Betula;nigra;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136460.0;Arbre;Jardin;PARIS 16E ARRDT;;;00030015;212.0;20.0;M;Inconnue;;1982-01-01T02:00:00+01:00;1;43682;Bouleau
48.8492902734, 2.35621122947;Platanus;x hispanica;QUAI SAINT BERNARD;298210.0;Arbre;Alignement;PARIS 5E ARRDT;angle fossé saint Bernard /quai Saint Bernard;;000301070;375.0;25.0;M;Inconnue;;1900-01-01T01:09:21+01:00;1;177825;Platane
48.84758185, 2.25327790355;Catalpa;speciosa;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136448.0;Arbre;Jardin;PARIS 16E ARRDT;;;00030003;200.0;3.0;M;Inconnue;'Pulverulenta';1700-01-01T01:02:49+00:53;1;36753;Catalpa
48.8650355075, 2.40093175935;Aesculus;hippocastanum;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;121923.0;Arbre;Jardin;PARIS 20E ARRDT;20-04;;000102006;380.0;26.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;142985;Marronnier
48.8736809161, 2.29025241063;Quercus;ilex;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;114867.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 10 - 20 à 26;;000206003 / 16-32;200.0;11.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;167965;Chêne
48.8183891866, 2.43791851368;Quercus;ilex;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE NOUVELLE;2002385.0;Arbre;Jardin;BOIS DE VINCENNES;12-15;;12-15;245.0;23.0;M;Inconnue;;1860-01-01T01:02:49+00:53;1;136540;Chêne
48.8661272117, 2.26254793084;Platanus;orientalis;ILE DU LAC INFERIEUR;2002398.0;Arbre;Jardin;BOIS DE BOULOGNE;16-04;;000401001;380.0;26.0;M;Inconnue;;1859-01-01T01:02:49+00:53;1;106944;Platane
48.8814687366, 2.38368012582;Sophora;japonica;PARC DES BUTTES CHAUMONT;101752.0;Arbre;Jardin;PARIS 19E ARRDT;19-06;;I1090024;408.0;12.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;153210;Sophora
48.8574173085, 2.31472511735;Magnolia;grandiflora;SQUARE D'AJACCIO;109016.0;Arbre;Jardin;PARIS 7E ARRDT;07-10;;00000034;155.0;13.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;121186;Magnolia
48.8288409104, 2.34976462735;Ficus;carica;JARDIN BRASSAI / 2 RUE EUGENE ATGET;138456.0;Arbre;Jardin;PARIS 13E ARRDT;;;00000028;100.0;4.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;130491;Figuier
48.8624451828, 2.28957035566;Sequoia;sempervirens;JARDIN DU TROCADERO;108277.0;Arbre;Jardin;PARIS 16E ARRDT;;;00000418;170.0;15.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;162944;Sequoia
48.8460598206, 2.25295516084;Ailanthus;giraldii;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;112968.0;Arbre;Jardin;PARIS 16E ARRDT;16-47;;00060035;495.0;22.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;21302;Ailante
48.863392803, 2.39684653818;Ginkgo;biloba;CIMETIERE DU PERE LACHAISE / DIV 84;158457.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-12;;D00000084016;165.0;20.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;89947;Arbre aux quarante écus
48.8656217619, 2.39994114274;Platanus;x hispanica;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;121945.0;Arbre;Jardin;PARIS 20E ARRDT;20-05;;000202004;500.0;28.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;23854;Platane
48.8608096279, 2.39184377559;Cedrus;libani;CIMETIERE DU PERE LACHAISE / DIV 4;152606.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-16;;D00000004036;372.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;200441;Cèdre
48.8691331657, 2.27224829769;Gymnocladus;dioica;SQUARE ROBERT SCHUMAN;139108.0;Arbre;Jardin;PARIS 16E ARRDT;16-42;;00000007;185.0;12.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;97964;Chicot du Canada
48.8591685681, 2.27021762792;Corylus;colurna;JARDIN DU RANELAGH;136739.0;Arbre;Jardin;PARIS 16E ARRDT;16-39;;00040029;225.0;18.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;197509;Noisetier de Byzance
48.8428184075, 2.29688266387;Acer;saccharinum;SQUARE SAINT-LAMBERT;111642.0;Arbre;Jardin;PARIS 15E ARRDT;15-04;;00000084;240.0;20.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;145069;Erable
48.8577764958, 2.31452314446;Platanus;x hispanica;SQUARE D'AJACCIO;109021.0;Arbre;Jardin;PARIS 7E ARRDT;07-13;;00000039;478.0;29.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;153015;Platane
48.8330206707, 2.34991527056;Quercus;cerris;SQUARE RENE LE GALL;104839.0;Arbre;Jardin;PARIS 13E ARRDT;13-04;;00010268;130.0;10.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;98395;Chêne
48.852346005, 2.35182356011;Tamarix;n. sp.;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;125051.0;Arbre;Jardin;PARIS 4E ARRDT;;;00000059;81.0;4.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;193300;Tamaris
48.8220251, 2.33627703861;Sequoia;sempervirens;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;113353.0;Arbre;Jardin;PARIS 14E ARRDT;03 - Le côteau du Bardo / Volcan - Puits;;0023D1001;355.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;21969;Sequoia
48.8629082876, 2.26157034611;Ginkgo;biloba;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;2002391.0;Arbre;Jardin;BOIS DE BOULOGNE;16-01;;000101002;210.0;17.0;M;Inconnue;;1893-01-01T01:02:49+00:53;1;32188;Arbre aux quarante écus
48.8341740278, 2.4613206192;Quercus;robur;LAC DES MINIMES - ROUTE RONDE DES MINIMES;2002376.0;Arbre;Jardin;BOIS DE VINCENNES;12-25;;12-25;422.0;30.0;M;Inconnue;;1784-01-01T01:02:49+00:53;1;32189;Chêne
48.8872385242, 2.31716310443;Pterocarya;fraxinifolia;SQUARE DES BATIGNOLLES;135262.0;Arbre;Jardin;PARIS 17E ARRDT;17-07;;00000072;395.0;30.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;46384;Pterocarya
48.8542732882, 2.33573525468;Paulownia;tomentosa;RUE DE FURSTEMBERG;216766.0;Arbre;Alignement;PARIS 6E ARRDT;;;000101001;295.0;20.0;M;Guillot Bourne;;1999-01-25T02:00:00+01:00;1;46524;Paulownia
48.8521900449, 2.34729161483;Robinia;pseudoacacia;SQUARE RENE VIVIANI;124358.0;Arbre;Jardin;PARIS 5E ARRDT;;;00000058;365.0;9.0;M;Inconnue;;1602-01-01T01:02:49+00:53;1;48768;Robinier
48.8335444898, 2.41034769634;Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;2002366.0;Arbre;Jardin;BOIS DE VINCENNES;12-14;;12-14;482.0;26.0;M;Inconnue;;1860-01-01T01:02:49+00:53;1;54223;Platane
48.8858144156, 2.3301156142;Taxus;baccata;CIMETIERE DE MONTMARTRE / DIV 14;167762.0;Arbre;CIMETIERE;PARIS 18E ARRDT;;;D00000014007;290.0;11.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;56344;If
48.8810210944, 2.39924431307;Fagus;sylvatica;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;127516.0;Arbre;Jardin;PARIS 19E ARRDT;;;00000004;276.0;21.0;M;Inconnue;'Atropunicea';1700-01-01T01:02:49+00:53;1;61864;Hêtre
48.8233452352, 2.33968342685;Fagus;sylvatica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;110444.0;Arbre;Jardin;PARIS 14E ARRDT;04 - Le vallon du Lac / Lac et Berges;;000401007;138.0;5.0;M;Inconnue;'Tortuosa';1700-01-01T01:02:49+00:53;1;67039;Hêtre
48.8558090006, 2.30029407426;Diospyros;kaki;JARDIN DU CHAMP DE MARS;106715.0;Arbre;Jardin;PARIS 7E ARRDT;07-05;;P0090571;117.0;14.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;78991;Plaqueminier
48.8333775625, 2.41261311356;Juglans;nigra;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;2002367.0;Arbre;Jardin;BOIS DE VINCENNES;12-04;;12-04;585.0;26.0;A;Inconnue;;1845-01-01T01:02:49+00:53;1;79371;Noyer
48.8856757452, 2.34472507365;Maclura;pomifera;SQUARE LOUISE MICHEL;120530.0;Arbre;Jardin;PARIS 18E ARRDT;18-11;;00000141;209.0;18.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;79702;Oranger des Osages
48.8408777406, 2.39210515404;Calocedrus;decurrens;JARDIN DE LA GARE DE REUILLY;125236.0;Arbre;Jardin;PARIS 12E ARRDT;12-33;;00000005;195.0;23.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;80180;Libocèdre
48.8448875264, 2.35366916319;Fagus;sylvatica;SQUARE DES ARENES DE LUTECE;132669.0;Arbre;Jardin;PARIS 5E ARRDT;;;00000075;85.0;3.0;M;Inconnue;'Tortuosa';1905-01-01T01:09:21+01:00;1;81512;Hêtre
48.8770427283, 2.38050012851;Taxus;baccata;PARC DES BUTTES CHAUMONT;103916.0;Arbre;Jardin;PARIS 19E ARRDT;;;O1020001;140.0;13.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;83016;If
48.8669731103, 2.31951515223;Sequoiadendron;giganteum;JARDINS DES CHAMPS ELYSEES;302514.0;Arbre;Jardin;PARIS 8E ARRDT;08-05;;00040057;335.0;19.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;84085;Sequoia
48.8218388917, 2.33578615166;Quercus;ilex;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;110934.0;Arbre;Jardin;PARIS 14E ARRDT;03 - Le côteau du Bardo / Volcan - Puits;;0023B1011;250.0;15.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;90358;Chêne
48.8322968473, 2.4106783229;Platanus;x hispanica;ILE DE BERCY / LAC DAUMESNIL;2002365.0;Arbre;Jardin;BOIS DE VINCENNES;12-07;;12-07;399.0;35.0;M;Inconnue;;1860-01-01T01:02:49+00:53;1;92040;Platane
48.8330296265, 2.35069308175;Aesculus;hippocastanum;SQUARE RENE LE GALL;104841.0;Arbre;Jardin;PARIS 13E ARRDT;13-01;;00010270;360.0;15.0;M;Inconnue;;1894-01-01T01:09:21+01:00;1;165538;Marronnier
48.821579307, 2.45494663547;Zelkova;carpinifolia;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;2002381.0;Arbre;Jardin;BOIS DE VINCENNES;12-21;;12-21;308.0;21.0;M;Inconnue;;2000-01-01T02:00:00+01:00;1;198520;Orme de Sibérie
48.8662595233, 2.39975002649;Ulmus;minor;AVENUE GAMBETTA;249445.0;Arbre;Alignement;PARIS 20E ARRDT;;;001202009;230.0;21.0;M;Inconnue;;1970-02-27T02:00:00+01:00;1;222337;Orme
48.8227147039, 2.33868841423;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;113547.0;Arbre;Jardin;PARIS 14E ARRDT;04 - Le vallon du Lac / Plateau Baigneuses;;0007A1001;604.0;30.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;224250;Platane
48.8823220504, 2.38408821582;Ginkgo;biloba;PARC DES BUTTES CHAUMONT;102053.0;Arbre;Jardin;PARIS 19E ARRDT;;;G0310005;270.0;24.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;226301;Arbre aux quarante écus
48.8217882346, 2.3228497157;Fagus;sylvatica;SQUARE DU SERMENT DE KOUFRA;121632.0;Arbre;Jardin;PARIS 14E ARRDT;14-09;;00000174;310.0;15.0;M;Inconnue;'Atropunicea';1700-01-01T01:02:49+00:53;1;95299;Hêtre
48.8875264747, 2.31617875419;Platanus;orientalis;SQUARE DES BATIGNOLLES;135378.0;Arbre;Jardin;PARIS 17E ARRDT;17-08;;00000187;442.0;30.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;96678;Platane
48.8648326277, 2.25217460792;Diospyros;kaki;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;2002388.0;Arbre;Jardin;BOIS DE BOULOGNE;16-13;;000501002;146.0;15.0;A;Inconnue;;1897-01-01T01:09:21+01:00;1;96994;Plaqueminier
48.8399709915, 2.43374296016;Fagus;sylvatica;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;2002372.0;Arbre;Jardin;BOIS DE VINCENNES;12-22;;12-22;414.0;16.0;M;Inconnue;'Pendula';1864-01-01T01:02:49+00:53;1;102298;Hêtre
48.8578039088, 2.39574078452;Eucommia;ulmoides;CIMETIERE DU PERE LACHAISE / DIV 75;155948.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-11;;D00000075015;120.0;12.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;105979;Arbre à Gutta-Percha
48.8277560491, 2.35926764063;Cedrus;libani;SQUARE DE CHOISY;106181.0;Arbre;Jardin;PARIS 13E ARRDT;13-03;;00000357;351.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;118528;Cèdre
48.8830293243, 2.37006279721;Tilia;tomentosa;PLACE DE LA BATAILLE DE STALINGRAD;235972.0;Arbre;Alignement;PARIS 19E ARRDT;19-05;;000103001;206.0;20.0;M;Inconnue;;1945-01-01T02:00:00+01:00;1;122991;Tilleul
48.8311975549, 2.41168725636;Cryptomeria;japonica;ILE DE BERCY / LAC DAUMESNIL;2002359.0;Arbre;Jardin;BOIS DE VINCENNES;12-13;;12-13;122.0;18.0;A;Inconnue;;1893-01-01T01:02:49+00:53;1;123571;Cryptomeria
48.8633907267, 2.24048112696;Cedrus;libani;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;2002348.0;Arbre;Jardin;BOIS DE BOULOGNE;16-09;;000301002;468.0;25.0;M;Inconnue;;1862-01-01T01:02:49+00:53;1;138555;Cèdre
48.8685718097, 2.31332439059;Calocedrus;decurrens;JARDINS DES CHAMPS ELYSEES;307478.0;Arbre;Jardin;PARIS 8E ARRDT;08-04;;00020023;202.0;18.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;156375;Libocèdre
48.8229510204, 2.33747224929;Ginkgo;biloba;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;106981.0;Arbre;Jardin;PARIS 14E ARRDT;03 - Le côteau du Bardo / Flatters;;002801018;335.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;159811;Arbre aux quarante écus
48.8764740798, 2.25749975507;Sequoiadendron;giganteum;ROUTE DE LA PORTE SAINT-JAMES;2002387.0;Arbre;Jardin;BOIS DE BOULOGNE;16-12;;001001001;335.0;28.0;M;Inconnue;;1850-01-01T01:02:49+00:53;1;159944;Sequoia
48.8543846725, 2.29863693912;Cedrus;libani;JARDIN DU CHAMP DE MARS;106913.0;Arbre;Jardin;PARIS 7E ARRDT;07-04;;P0070796;295.0;20.0;M;Inconnue;'Glauca';1700-01-01T01:02:49+00:53;1;171993;Cèdre
48.876921106, 2.34671864206;Platanus;x hispanica;SQUARE MONTHOLON / 79 BIS RUE LA FAYETTE;317250.0;Arbre;Jardin;PARIS 9E ARRDT;;;000108001;465.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;172119;Platane
48.8735408016, 2.29045015635;Koelreuteria;paniculata;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;114869.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 10 - 20 à 26;;000206001 / 16-34;155.0;8.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;180669;Savonnier
48.863263161, 2.24072476384;Taxodium;distichum;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;2002347.0;Arbre;Jardin;BOIS DE BOULOGNE;16-07;;000301001;311.0;28.0;M;Inconnue;;1859-01-01T01:02:49+00:53;1;181962;Cyprès Chauve
48.8226040554, 2.33670121886;Fagus;sylvatica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;113328.0;Arbre;Jardin;PARIS 14E ARRDT;03 - Le côteau du Bardo / Grande pelouse;;002602006;395.0;28.0;M;Inconnue;'Riversii';1700-01-01T01:02:49+00:53;1;186165;Hêtre
48.8395211552, 2.43349884154;Platanus;x hispanica;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;2002371.0;Arbre;Jardin;BOIS DE VINCENNES;12-01;;12-01;607.0;30.0;M;Inconnue;;1918-01-01T01:00:00+01:00;1;192327;Platane
48.872641762, 2.28136402859;Zelkova;carpinifolia;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;114140.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 05 - 54 à 68;;000404059 / 16-26;415.0;26.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;193077;Orme de Sibérie
48.857749011, 2.33940394029;Salix;babylonica;QUAI DE L HORLOGE;230281.0;Arbre;Alignement;PARIS 1ER ARRDT;;;000402002;120.0;14.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;193876;Saule
48.8493165016, 2.34518635839;Platanus;orientalis;SQUARE MICHEL-FOUCAULT / 43Q RUE DES ECOLES;132543.0;Arbre;Jardin;PARIS 5E ARRDT;;;00000002;450.0;24.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;211259;Platane
48.857837941, 2.29331862801;Platanus;x hispanica;JARDIN DU CHAMP DE MARS / C01;108095.0;Arbre;Jardin;PARIS 7E ARRDT;07-08;;P00206011;695.0;27.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;214335;Platane
48.8709369341, 2.24803445349;Taxus;baccata;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002352.0;Arbre;Jardin;BOIS DE BOULOGNE;16-21;;000701001;246.0;15.0;A;Inconnue;;1772-01-01T01:02:49+00:53;1;152691;If
48.8729000638, 2.29056540474;Morus;nigra;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;114685.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 14 - 11 à 27;;000103010;150.0;8.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;152554;Mûrier
48.86193299, 2.39871043218;Acer;monspessulanum;CIMETIERE DU PERE LACHAISE / DIV 77;140495.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-07;;D00000077020;232.0;14.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;93964;Erable
48.8323392302, 2.41144640633;Platanus;x hispanica;ILE DE BERCY / LAC DAUMESNIL;2002364.0;Arbre;Jardin;BOIS DE VINCENNES;12-11;;12-11;397.0;40.0;M;Inconnue;;1860-01-01T01:02:49+00:53;1;144506;Platane
48.836425027, 2.29018563176;Fagus;sylvatica;SQUARE DU CLOS FEUQUIERES;128372.0;Arbre;Jardin;PARIS 15E ARRDT;;;00000001;138.0;4.0;A;Inconnue;'Pendula';1973-01-01T02:00:00+01:00;1;62769;Hêtre
48.8787029872, 2.30647417371;Acer;pseudoplatanus;PARC MONCEAU;305507.0;Arbre;Jardin;PARIS 8E ARRDT;08-01;;00NO0144;450.0;28.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;63771;Erable
48.845904263, 2.25302676408;Pistacia;terebinthus;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;113571.0;Arbre;Jardin;PARIS 16E ARRDT;;;00060050;170.0;10.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;93695;Pistachier
48.8476114157, 2.25314300756;Firmiana;simplex;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136446.0;Arbre;Jardin;PARIS 16E ARRDT;;;00030001;132.0;12.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;226802;Sterculier
48.882331696, 2.31024539129;Aesculus;hippocastanum;PELOUSES DE LA PLACE DU GENERAL CATROUX;128154.0;Arbre;Jardin;PARIS 17E ARRDT;;;00000013;383.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;69912;Marronnier
48.8319997987, 2.32583007025;Cedrus;libani;SQUARE DE L ASPIRAND DUNAND / 20 RUE SAILLARD;116216.0;Arbre;Jardin;PARIS 14E ARRDT;;;10030016;140.0;18.0;A;Inconnue;;1996-01-01T02:00:00+01:00;1;173800;Cèdre
48.8704055251, 2.24852119162;Platanus;orientalis;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002351.0;Arbre;Jardin;BOIS DE BOULOGNE;16-18;;000701007;221.0;24.0;M;Inconnue;;1843-01-01T01:02:49+00:53;1;154669;Platane
48.8819364512, 2.39826376533;Fraxinus;excelsior;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;127998.0;Arbre;Jardin;PARIS 19E ARRDT;19-01;;00000509;385.0;24.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;166667;Frêne
48.8658336196, 2.40008292539;Corylus;colurna;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;121940.0;Arbre;Jardin;PARIS 20E ARRDT;20-06;;000201005;160.0;16.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;157100;Noisetier de Byzance
48.8797546767, 2.38066315428;Sequoiadendron;giganteum;PARC DES BUTTES CHAUMONT;102837.0;Arbre;Jardin;PARIS 19E ARRDT;19-04;;K0660013;505.0;26.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;133178;Sequoia
48.8877361833, 2.34350324718;Platanus;x hispanica;PARC MARCEL BLEUSTEIN BLANCHET;120299.0;Arbre;Jardin;PARIS 18E ARRDT;18-13;;00000028;349.0;27.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;128694;Platane
